,sceneDateString,platform,dt,nFrames
0,2014-11-05,Sentinel-1A,0,6
1,2014-11-29,Sentinel-1A,24,6
2,2014-12-23,Sentinel-1A,24,7
3,2015-01-16,Sentinel-1A,24,7
4,2015-02-09,Sentinel-1A,24,6
5,2015-03-17,Sentinel-1A,36,7
6,2015-03-29,Sentinel-1A,12,7
7,2015-04-10,Sentinel-1A,12,6
8,2015-05-04,Sentinel-1A,24,6
9,2015-05-28,Sentinel-1A,24,5
10,2015-08-08,Sentinel-1A,72,6
11,2015-09-01,Sentinel-1A,24,3
12,2015-09-25,Sentinel-1A,24,4
13,2015-11-12,Sentinel-1A,48,3
14,2016-01-23,Sentinel-1A,72,2
15,2016-02-16,Sentinel-1A,24,2
16,2016-04-28,Sentinel-1A,72,6
17,2016-05-10,Sentinel-1A,12,6
18,2016-05-22,Sentinel-1A,12,6
19,2016-06-15,Sentinel-1A,24,6
20,2016-07-09,Sentinel-1A,24,6
21,2016-08-02,Sentinel-1A,24,6
22,2016-09-19,Sentinel-1A,48,6
23,2016-10-07,Sentinel-1B,18,1
24,2016-10-13,Sentinel-1A,6,4
25,2016-10-19,Sentinel-1B,6,1
26,2016-10-31,Sentinel-1B,12,1
27,2016-11-06,Sentinel-1A,6,5
28,2016-11-12,Sentinel-1B,6,1
29,2016-11-24,Sentinel-1B,12,1
30,2016-11-30,Sentinel-1A,6,5
31,2016-12-06,Sentinel-1B,6,1
32,2016-12-18,Sentinel-1B,12,1
33,2016-12-24,Sentinel-1A,6,5
34,2016-12-30,Sentinel-1B,6,5
35,2017-01-17,Sentinel-1A,18,5
36,2017-01-23,Sentinel-1B,6,5
37,2017-02-16,Sentinel-1B,24,5
38,2017-02-28,Sentinel-1B,12,3
39,2017-04-29,Sentinel-1B,60,1
40,2017-05-11,Sentinel-1B,12,5
