Orbit,Start,Stop,Dates,Frames,Direction,UTC
93,2014-11-05,2017-05-11,41,180,ASCENDING,01:35:44
86,2014-11-16,2017-10-13,69,231,DESCENDING,14:29:26
71,2014-11-15,2017-10-12,77,229,DESCENDING,13:48:42
64,2014-10-10,2017-10-12,61,298,ASCENDING,01:52:06
42,2014-10-20,2017-10-10,78,315,DESCENDING,14:06:43
35,2015-03-01,2017-10-10,73,273,ASCENDING,02:08:42
20,2014-10-31,2017-10-09,41,59,ASCENDING,01:29:32
166,2014-10-29,2017-10-07,59,266,ASCENDING,01:44:07
144,2014-10-15,2017-10-11,77,328,DESCENDING,13:58:33
137,2014-12-14,2017-10-05,54,227,ASCENDING,02:00:19
13,2015-06-03,2017-10-14,62,254,DESCENDING,14:20:51
115,2014-11-06,2017-10-09,79,325,DESCENDING,14:12:51
108,2016-03-24,2017-10-15,22,85,ASCENDING,02:17:05
