,sceneDateString,platform,granuleName,dt
0,2015-03-01,Sentinel-1A,S1A_IW_SLC__1SSV_20150301T020813_20150301T020842_004832_006037_669C,
1,2015-03-13,Sentinel-1A,S1A_IW_SLC__1SSV_20150313T020808_20150313T020841_005007_00646F_FA47,12.0
2,2015-03-25,Sentinel-1A,S1A_IW_SLC__1SDV_20150325T020808_20150325T020836_005182_00689D_82FF,12.0
3,2015-04-18,Sentinel-1A,S1A_IW_SLC__1SSV_20150418T020809_20150418T020837_005532_00712C_6551,24.0
4,2015-05-24,Sentinel-1A,S1A_IW_SLC__1SSV_20150524T020829_20150524T020856_006057_007D4E_A2E6,36.0
5,2015-06-05,Sentinel-1A,S1A_IW_SLC__1SDV_20150605T020932_20150605T021002_006232_008251_B65D,12.0
6,2015-06-17,Sentinel-1A,S1A_IW_SLC__1SSV_20150617T020830_20150617T020857_006407_008754_7E91,12.0
7,2015-07-11,Sentinel-1A,S1A_IW_SLC__1SSV_20150711T020831_20150711T020858_006757_009109_84BA,24.0
8,2015-07-23,Sentinel-1A,S1A_IW_SLC__1SDV_20150723T020934_20150723T021004_006932_00960B_7EA7,12.0
9,2015-08-16,Sentinel-1A,S1A_IW_SLC__1SDV_20150816T020935_20150816T021005_007282_009FB9_333D,24.0
10,2015-08-28,Sentinel-1A,S1A_IW_SLC__1SSV_20150828T020833_20150828T020905_007457_00A476_1332,12.0
11,2015-09-09,Sentinel-1A,S1A_IW_SLC__1SDV_20150909T020936_20150909T021006_007632_00A942_9110,12.0
12,2015-09-21,Sentinel-1A,S1A_IW_SLC__1SSV_20150921T020834_20150921T020906_007807_00ADDC_2134,12.0
13,2015-10-03,Sentinel-1A,S1A_IW_SLC__1SDV_20151003T020937_20151003T021007_007982_00B2A1_0144,12.0
14,2015-10-27,Sentinel-1A,S1A_IW_SLC__1SDV_20151027T020937_20151027T021007_008332_00BC14_C7BF,24.0
15,2016-01-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160119T020827_20160119T020855_009557_00DE4E_976D,84.0
16,2016-02-12,Sentinel-1A,S1A_IW_SLC__1SSV_20160212T020826_20160212T020854_009907_00E887_9793,24.0
17,2016-03-19,Sentinel-1A,S1A_IW_SLC__1SDV_20160319T020826_20160319T020854_010432_00F789_B3F4,36.0
18,2016-04-12,Sentinel-1A,S1A_IW_SLC__1SDV_20160412T020930_20160412T021000_010782_0101C9_6740,24.0
19,2016-04-24,Sentinel-1A,S1A_IW_SLC__1SSV_20160424T020828_20160424T020856_010957_01071F_D343,12.0
20,2016-05-18,Sentinel-1A,S1A_IW_SLC__1SSV_20160518T020829_20160518T020857_011307_011247_75AC,24.0
21,2016-05-30,Sentinel-1A,S1A_IW_SLC__1SDV_20160530T020935_20160530T021005_011482_0117FF_7885,12.0
22,2016-06-11,Sentinel-1A,S1A_IW_SLC__1SSV_20160611T020830_20160611T020858_011657_011D78_4AF7,12.0
23,2016-07-05,Sentinel-1A,S1A_IW_SLC__1SSV_20160705T020832_20160705T020852_012007_012896_B803,24.0
24,2016-07-17,Sentinel-1A,S1A_IW_SLC__1SDV_20160717T020938_20160717T021007_012182_012E55_E828,12.0
25,2016-07-29,Sentinel-1A,S1A_IW_SLC__1SSV_20160729T020833_20160729T020901_012357_013406_B332,12.0
26,2016-08-10,Sentinel-1A,S1A_IW_SLC__1SDV_20160810T020939_20160810T021009_012532_0139DE_9286,12.0
27,2016-08-22,Sentinel-1A,S1A_IW_SLC__1SDV_20160822T020843_20160822T020910_012707_013FB0_3107,12.0
28,2016-09-03,Sentinel-1A,S1A_IW_SLC__1SDV_20160903T020940_20160903T021010_012882_014597_4046,12.0
29,2016-09-27,Sentinel-1A,S1A_IW_SLC__1SDV_20160927T020941_20160927T021011_013232_0150FB_D39C,24.0
30,2016-10-03,Sentinel-1B,S1B_IW_SLC__1SSV_20161003T020754_20161003T020820_002336_003F34_05B5,6.0
31,2016-10-09,Sentinel-1A,S1A_IW_SLC__1SSV_20161009T020854_20161009T020924_013407_015677_B433,6.0
32,2016-10-15,Sentinel-1B,S1B_IW_SLC__1SSV_20161015T020859_20161015T020929_002511_0043D5_32BE,6.0
