,sceneDateString,platform,dt
0,2014-11-06,Sentinel-1A,
1,2014-11-30,Sentinel-1A,24 days 00:00:00.000000000
2,2014-12-24,Sentinel-1A,24 days 00:00:00.000000000
3,2015-01-17,Sentinel-1A,24 days 00:00:00.000000000
4,2015-01-29,Sentinel-1A,12 days 00:00:00.000000000
5,2015-02-10,Sentinel-1A,12 days 00:00:00.000000000
6,2015-02-22,Sentinel-1A,12 days 00:00:00.000000000
7,2015-03-06,Sentinel-1A,12 days 00:00:00.000000000
8,2015-03-18,Sentinel-1A,12 days 00:00:00.000000000
9,2015-03-30,Sentinel-1A,12 days 00:00:00.000000000
10,2015-04-11,Sentinel-1A,12 days 00:00:00.000000000
11,2015-04-23,Sentinel-1A,12 days 00:00:00.000000000
12,2015-06-10,Sentinel-1A,48 days 00:00:00.000000000
13,2015-07-04,Sentinel-1A,24 days 00:00:00.000000000
14,2015-07-28,Sentinel-1A,24 days 00:00:00.000000000
15,2015-08-21,Sentinel-1A,24 days 00:00:00.000000000
16,2015-09-14,Sentinel-1A,24 days 00:00:00.000000000
17,2015-10-08,Sentinel-1A,24 days 00:00:00.000000000
18,2015-11-01,Sentinel-1A,24 days 00:00:00.000000000
19,2015-11-25,Sentinel-1A,24 days 00:00:00.000000000
20,2015-12-19,Sentinel-1A,24 days 00:00:00.000000000
21,2016-01-12,Sentinel-1A,24 days 00:00:00.000000000
22,2016-02-05,Sentinel-1A,24 days 00:00:00.000000000
23,2016-02-29,Sentinel-1A,24 days 00:00:00.000000000
24,2016-04-17,Sentinel-1A,48 days 00:00:00.000000000
25,2016-05-11,Sentinel-1A,24 days 00:00:00.000000000
26,2016-06-04,Sentinel-1A,24 days 00:00:00.000000000
27,2016-06-28,Sentinel-1A,24 days 00:00:00.000000000
28,2016-07-22,Sentinel-1A,24 days 00:00:00.000000000
29,2016-08-15,Sentinel-1A,24 days 00:00:00.000000000
30,2016-09-08,Sentinel-1A,24 days 00:00:00.000000000
31,2016-10-02,Sentinel-1A,24 days 00:00:00.000000000
32,2016-10-14,Sentinel-1A,12 days 00:00:00.000000000
33,2016-10-26,Sentinel-1A,12 days 00:00:00.000000000
34,2016-11-07,Sentinel-1A,12 days 00:00:00.000000000
35,2016-11-19,Sentinel-1A,12 days 00:00:00.000000000
36,2016-12-01,Sentinel-1A,12 days 00:00:00.000000000
37,2016-12-13,Sentinel-1A,12 days 00:00:00.000000000
62,2016-12-19,Sentinel-1B,6 days 00:00:00.000000000
38,2016-12-25,Sentinel-1A,6 days 00:00:00.000000000
39,2017-01-06,Sentinel-1A,12 days 00:00:00.000000000
63,2017-01-24,Sentinel-1B,18 days 00:00:00.000000000
40,2017-01-30,Sentinel-1A,6 days 00:00:00.000000000
41,2017-02-11,Sentinel-1A,12 days 00:00:00.000000000
42,2017-02-23,Sentinel-1A,12 days 00:00:00.000000000
64,2017-03-01,Sentinel-1B,6 days 00:00:00.000000000
43,2017-03-07,Sentinel-1A,6 days 00:00:00.000000000
65,2017-03-13,Sentinel-1B,6 days 00:00:00.000000000
44,2017-03-19,Sentinel-1A,6 days 00:00:00.000000000
66,2017-03-25,Sentinel-1B,6 days 00:00:00.000000000
45,2017-03-31,Sentinel-1A,6 days 00:00:00.000000000
67,2017-04-06,Sentinel-1B,6 days 00:00:00.000000000
46,2017-04-12,Sentinel-1A,6 days 00:00:00.000000000
68,2017-04-18,Sentinel-1B,6 days 00:00:00.000000000
47,2017-04-24,Sentinel-1A,6 days 00:00:00.000000000
69,2017-04-30,Sentinel-1B,6 days 00:00:00.000000000
48,2017-05-06,Sentinel-1A,6 days 00:00:00.000000000
70,2017-05-12,Sentinel-1B,6 days 00:00:00.000000000
49,2017-05-18,Sentinel-1A,6 days 00:00:00.000000000
50,2017-05-30,Sentinel-1A,12 days 00:00:00.000000000
51,2017-06-11,Sentinel-1A,12 days 00:00:00.000000000
52,2017-06-23,Sentinel-1A,12 days 00:00:00.000000000
53,2017-07-05,Sentinel-1A,12 days 00:00:00.000000000
71,2017-07-11,Sentinel-1B,6 days 00:00:00.000000000
54,2017-07-17,Sentinel-1A,6 days 00:00:00.000000000
72,2017-07-23,Sentinel-1B,6 days 00:00:00.000000000
55,2017-07-29,Sentinel-1A,6 days 00:00:00.000000000
73,2017-08-04,Sentinel-1B,6 days 00:00:00.000000000
56,2017-08-10,Sentinel-1A,6 days 00:00:00.000000000
74,2017-08-16,Sentinel-1B,6 days 00:00:00.000000000
57,2017-08-22,Sentinel-1A,6 days 00:00:00.000000000
75,2017-08-28,Sentinel-1B,6 days 00:00:00.000000000
58,2017-09-03,Sentinel-1A,6 days 00:00:00.000000000
76,2017-09-09,Sentinel-1B,6 days 00:00:00.000000000
59,2017-09-15,Sentinel-1A,6 days 00:00:00.000000000
77,2017-09-21,Sentinel-1B,6 days 00:00:00.000000000
60,2017-09-27,Sentinel-1A,6 days 00:00:00.000000000
78,2017-10-03,Sentinel-1B,6 days 00:00:00.000000000
61,2017-10-09,Sentinel-1A,6 days 00:00:00.000000000
