Orbit,Start,Stop,Dates,Frames,Direction,UTC
93,2014-11-05,2017-05-11,38,126,ASCENDING,01:35:44
86,2014-11-16,2017-10-13,61,124,DESCENDING,14:29:51
71,2014-11-15,2017-10-06,53,187,DESCENDING,13:49:07
64,2014-10-10,2017-10-12,61,207,ASCENDING,01:52:06
42,2014-10-20,2017-10-10,78,210,DESCENDING,14:06:43
35,2015-03-01,2017-10-10,73,186,ASCENDING,02:08:42
166,2014-10-29,2017-10-07,59,183,ASCENDING,01:44:07
144,2014-10-15,2017-10-11,58,223,DESCENDING,13:58:33
137,2014-12-14,2017-10-05,54,163,ASCENDING,02:00:19
13,2015-06-03,2017-10-08,61,187,DESCENDING,14:21:40
115,2014-11-06,2017-10-09,79,223,DESCENDING,14:13:40
108,2016-03-24,2017-10-03,21,61,ASCENDING,02:17:05
