,sceneDateString,platform,dt
0,2015-01-07,Sentinel-1A,
1,2015-01-31,Sentinel-1A,24 days 00:00:00.000000000
2,2015-02-24,Sentinel-1A,24 days 00:00:00.000000000
3,2015-03-20,Sentinel-1A,24 days 00:00:00.000000000
4,2015-04-01,Sentinel-1A,12 days 00:00:00.000000000
5,2015-05-07,Sentinel-1A,36 days 00:00:00.000000000
6,2015-05-31,Sentinel-1A,24 days 00:00:00.000000000
7,2015-06-24,Sentinel-1A,24 days 00:00:00.000000000
8,2015-07-18,Sentinel-1A,24 days 00:00:00.000000000
9,2015-08-11,Sentinel-1A,24 days 00:00:00.000000000
10,2015-09-04,Sentinel-1A,24 days 00:00:00.000000000
11,2015-11-15,Sentinel-1A,72 days 00:00:00.000000000
12,2016-01-26,Sentinel-1A,72 days 00:00:00.000000000
13,2016-02-19,Sentinel-1A,24 days 00:00:00.000000000
14,2016-03-14,Sentinel-1A,24 days 00:00:00.000000000
15,2016-04-07,Sentinel-1A,24 days 00:00:00.000000000
16,2016-05-01,Sentinel-1A,24 days 00:00:00.000000000
17,2016-05-25,Sentinel-1A,24 days 00:00:00.000000000
18,2016-08-05,Sentinel-1A,72 days 00:00:00.000000000
19,2016-08-29,Sentinel-1A,24 days 00:00:00.000000000
20,2016-09-22,Sentinel-1A,24 days 00:00:00.000000000
24,2016-10-22,Sentinel-1B,30 days 00:00:00.000000000
25,2016-11-15,Sentinel-1B,24 days 00:00:00.000000000
21,2016-12-03,Sentinel-1A,18 days 00:00:00.000000000
26,2016-12-09,Sentinel-1B,6 days 00:00:00.000000000
22,2016-12-27,Sentinel-1A,18 days 00:00:00.000000000
27,2017-01-02,Sentinel-1B,6 days 00:00:00.000000000
23,2017-01-20,Sentinel-1A,18 days 00:00:00.000000000
28,2017-01-26,Sentinel-1B,6 days 00:00:00.000000000
29,2017-02-19,Sentinel-1B,24 days 00:00:00.000000000
30,2017-03-03,Sentinel-1B,12 days 00:00:00.000000000
31,2017-03-15,Sentinel-1B,12 days 00:00:00.000000000
32,2017-03-27,Sentinel-1B,12 days 00:00:00.000000000
33,2017-04-08,Sentinel-1B,12 days 00:00:00.000000000
34,2017-05-14,Sentinel-1B,36 days 00:00:00.000000000
35,2017-05-26,Sentinel-1B,12 days 00:00:00.000000000
36,2017-08-06,Sentinel-1B,72 days 00:00:00.000000000
37,2017-08-18,Sentinel-1B,12 days 00:00:00.000000000
38,2017-09-11,Sentinel-1B,24 days 00:00:00.000000000
