Orbit,Start,Stop,Dates,Frames,Direction,UTC
93,2014-11-05,2017-05-11,33,91,ASCENDING,01:37:00
86,2014-11-16,2017-10-01,68,175,DESCENDING,14:29:26
64,2014-11-03,2017-09-30,55,180,ASCENDING,01:53:23
42,2014-11-13,2017-09-28,65,194,DESCENDING,14:04:38
35,2015-03-01,2017-09-28,65,180,ASCENDING,02:09:36
166,2014-10-29,2017-10-07,48,169,ASCENDING,01:44:58
144,2014-11-08,2017-09-29,74,197,DESCENDING,13:56:29
137,2015-01-07,2017-09-11,39,136,ASCENDING,02:01:44
13,2015-06-03,2017-10-08,61,134,DESCENDING,14:21:16
115,2014-11-06,2017-10-09,77,199,DESCENDING,14:12:51
108,2016-09-20,2017-10-03,20,39,ASCENDING,02:18:09
